x,y,z,pitch,yaw,roll
335.489990234,273.74331665,0.299999982119,0.0,90.0000457764,0.0
299.399993896,133.240036011,0.299999982119,0.0,-9.1552734375e-05,0.0
299.399993896,129.75,0.299999982119,0.0,179.999755859,0.0
299.399993896,59.3300361633,0.299999982119,0.0,-9.1552734375e-05,0.0
299.399993896,55.8400001526,0.299999982119,0.0,179.999755859,0.0
272.290008545,59.3300361633,0.299999982119,0.0,-9.1552734375e-05,0.0
272.290008545,55.8400001526,0.299999982119,0.0,179.999755859,0.0
234.269989014,59.3300170898,0.299999982119,0.0,-9.1552734375e-05,0.0
234.269989014,55.8400192261,0.299999982119,0.0,179.999755859,0.0
202.550003052,59.3300170898,0.299999982119,0.0,-9.1552734375e-05,0.0
202.550003052,55.8400001526,0.299999982119,0.0,179.999755859,0.0
92.1099853516,227.220001221,0.299999982119,0.0,-90.0002975464,0.0
144.059280396,133.239883423,0.299999982119,0.0,-9.1552734375e-05,0.0
191.080001831,55.8400001526,0.299999982119,0.0,179.999755859,0.0
153.759994507,28.8999996185,0.299999982119,0.0,90.0000457764,0.0
144.059280396,129.749862671,0.299999982119,0.0,179.999755859,0.0
176.589492798,133.239151001,0.299999982119,0.0,-9.1552734375e-05,0.0
158.080001831,27.1800003052,0.299999982119,0.0,-90.0002975464,0.0
295.081756592,199.060302734,0.299999982119,0.0,-9.1552734375e-05,0.0
295.081756592,195.5703125,0.299999982119,0.0,179.999755859,0.0
258.26184082,199.060028076,0.299999982119,0.0,-9.1552734375e-05,0.0
258.26184082,195.570037842,0.299999982119,0.0,179.999755859,0.0
88.6199798584,226.905639648,0.299999982119,0.0,90.0000457764,0.0
233.543777466,198.759719849,0.299999982119,0.0,-9.1552734375e-05,0.0
234.714874268,195.269638062,0.299999982119,0.0,179.999755859,0.0
181.172927856,198.759796143,0.299999982119,0.0,-9.1552734375e-05,0.0
181.172927856,195.269805908,0.299999982119,0.0,179.999755859,0.0
142.360549927,198.759994507,0.299999982119,0.0,-9.1552734375e-05,0.0
142.91998291,195.269989014,0.299999982119,0.0,179.999755859,0.0
142.91998291,330.459991455,0.299999982119,0.0,-9.1552734375e-05,0.0
142.91998291,326.970001221,0.299999982119,0.0,179.999755859,0.0
120.026031494,330.459991455,0.299999982119,0.0,-9.1552734375e-05,0.0
124.739974976,326.970001221,0.299999982119,0.0,179.999755859,0.0
92.1099777222,247.163574219,0.299999982119,0.0,-90.0002975464,0.0
173.119979858,330.459991455,0.299999982119,0.0,-9.1552734375e-05,0.0
173.119979858,326.970001221,0.299999982119,0.0,179.999755859,0.0
199.949981689,330.459991455,0.299999982119,0.0,-9.1552734375e-05,0.0
199.949981689,326.970001221,0.299999982119,0.0,179.999755859,0.0
232.199981689,330.459991455,0.299999982119,0.0,-9.1552734375e-05,0.0
232.199981689,326.970001221,0.299999982119,0.0,179.999755859,0.0
262.599975586,330.539978027,0.299999982119,0.0,-9.1552734375e-05,0.0
262.599975586,327.049987793,0.299999982119,0.0,179.999755859,0.0
301.33996582,330.539978027,0.299999982119,0.0,-9.1552734375e-05,0.0
301.33996582,327.049987793,0.299999982119,0.0,179.999755859,0.0
88.6199798584,299.921295166,0.299999982119,0.0,90.0000457764,0.0
194.46232605,198.759979248,0.299999982119,0.0,-9.1552734375e-05,0.0
195.004821777,195.27003479,0.299999982119,0.0,179.999755859,0.0
358.399963379,330.539978027,0.299999982119,0.0,-9.1552734375e-05,0.0
366.539978027,327.049987793,0.299999982119,0.0,179.999755859,0.0
229.013778687,133.240264893,0.299999982119,0.0,-9.1552734375e-05,0.0
228.994293213,129.750061035,0.299999982119,0.0,179.999755859,0.0
